,lineitem,relevance
7257,FRS 105 'The Financial Reporting Standard applicable to the Micro-entity Regime' and delivered in accordance with the,1.0
7258,provisions applicable to companies subject to the small companies regime.,1.0
7259,The financial statements were approved and signed by the director and authorised for issue 3                                                            on       February 2020,1.0
7260,Miss A Grupa,1.0
7261,Director,1.0
7262,Company Registration Number 10077079,1.0
7265,-1-,1.0
7266,Balance Sheet as at 31 January 2020,1.0
7267,2020           2019,1.0
7268,Â£              Â£,1.0
7269,Current assets,2.0
7270,Cash at bank and in hand                                                                            1              1,2.0
7271,Net assets                                                                                                  1              1,2.0
7272,Issued share capital,2.0
7273,1 Ordinary Share 1 of Â£ each                                                                                 1              1,2.0
7274,Total Shareholder funds                                                                                     1              1,2.0
7275,STATEMENTS,1.0
7276,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
7277,the Companies Act 2006 relating to dormant companies,1.0
7278,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7279,the Companies Act 2006.,1.0
7280,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7281,with respect to accounting                records and the preparation of accounts.,1.0
7282,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7283,subject to the small companies regime.,1.0
7284,Approved by the Board 4               on      February 2020,1.0
7285,And signed on their behalf by:,1.0
7286,"Doina Pirau, Director",1.0
7287,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7288,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7289,the Companies Act 2006.,1.0
7290,Micro-entity Balance Sheet as at 30 June 2019,1.0
7291,Notes            2019             2018,2.0
7292,Â£                Â£,1.0
7293,"Fixed Assets                                                                                           3,526            1,918",2.0
7294,"Current Assets                                                                                     232,315          204,768",2.0
7295,"Creditors: amounts falling due within one year                                                     (48,208)         (60,454)",2.0
7296,"Net current assets (liabilities)                                                                    184,107         144,314",2.0
7297,"Total assets less current liabilities                                                              187,633          146,232",2.0
7298,"Total net assets (liabilities)                                                                      187,633         146,232",2.0
7299,"Capital and reserves                                                                               187,633          146,232",2.0
7300,Â®    For the year ending 30 June 2019 the company was entities to exemption under section 477 of the,1.0
7301,Companies Act 2006 relating to small companies,1.0
7302,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7303,the Companies Act 2006.,1.0
7304,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7305,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7306,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7307,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
7308,Approved by the Board on 29 January 2020,1.0
7309,And signed on their behalf by:,1.0
7310,"Henry Hale, Director",1.0
7311,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7312,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7313,the Companies Act 2006.,1.0
7314,Balance Sheet as at 31 May 2019,1.0
7315,2019,1.0
7316,Â£,1.0
7317,Called up share capital not paid                                                                                           1,2.0
7318,Net assets                                                                                                                  1,2.0
7319,Tssued share capital,2.0
7320,1 Ordinary Share 1 of Â£ each                                                                                               1,2.0
7321,Total Shareholder funds                                                                                                   1,2.0
7322,STATEMENTS,1.0
7323,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
7324,Companies Act 2006 relating to dormant companies,1.0
7325,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7326,the Companies Act 2006.,1.0
7327,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7328,with respect to accounting                records and the preparation of accounts.,1.0
7329,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7330,subject to the small companies regime.,1.0
7331,Approved by the Board 4               on      February 2020,1.0
7332,And signed on their behalf by:,1.0
7333,"Harold WIESENFELD, Director",1.0
7334,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7335,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7336,the Companies Act 2006.,1.0
7337,Micro-entity Balance Sheet as at 31 May 2019,1.0
7338,Notes          2019          2018,2.0
7339,Â£             Â£,1.0
7340,"Current Assets                                                                                            6,832       20,780",2.0
7341,"Creditors: amounts falling due within one year                                                          (2,192)        (2,257)",2.0
7342,"Net current assets (liabilities)                                                                          4,640        18,523",2.0
7343,"Total assets less current liabilities                                                                     4,640        18,523",2.0
7344,Creditors: amounts falling due after more than one,2.0
7345,(18.154)       (29.766),2.0
7346,year,1.0
7347,"Total net assets (liabilities)                                                                        (13,514)       (11,243)",2.0
7348,"Capital and reserves                                                                                  (13,514)       (11,243)",2.0
7349,For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
7350,Companies Act 2006 relating to small companies,1.0
7351,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7352,the Companies Act 2006.,1.0
7353,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7354,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7355,The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7356,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
7357,Approved by the Board 5               on     November 2019,1.0
7358,And signed on their behalf by:,1.0
7359,"A Palmer, Director",1.0
7360,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7361,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7362,the Companies Act 2006.,1.0
7363,Balance Sheet as at 30 June 2019,1.0
7364,2019,1.0
7365,Â£,1.0
7366,Called up share capital not paid                                                                                                 100,2.0
7367,Net assets                                                                                                                       100,2.0
7368,Tssued share capital,2.0
7369,100 Ordinary Shares of Â£ | each                                                                                        100,2.0
7370,Total Shareholder funds                                                                                                          100,2.0
7371,STATEMENTS,1.0
7372,a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,1.0
7373,Companies Act 2006 relating to dormant companies,1.0
7374,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7375,the Companies Act 2006.,1.0
7376,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7377,with respect to accounting                records and the preparation of accounts.,1.0
7378,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7379,subject to the small companies regime.,1.0
7380,Approved by the Board 4               on      February 2020,1.0
7381,And signed on their behalf by:,1.0
7382,"JULIET STRACHAN, Director",1.0
7383,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7384,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7385,the Companies Act 2006.,1.0
7386,Balance Sheet as at 31 January 2020,1.0
7387,2020           2019,1.0
7388,Â£              Â£,1.0
7389,Current assets,2.0
7390,Cash at bank and in hand                                                                           1              1,2.0
7391,Net assets                                                                                                  1              1,2.0
7392,Issued share capital,2.0
7393,1 Ordinary Share 1 of Â£ each                                                                                1              1,2.0
7394,Total Shareholder funds                                                                                     1              1,2.0
7395,STATEMENTS,1.0
7396,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
7397,the Companies Act 2006 relating to dormant companies,1.0
7398,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7399,the Companies Act 2006.,1.0
7400,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7401,with respect to accounting                records and the preparation of accounts.,1.0
7402,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7403,subject to the small companies regime.,1.0
7404,Approved by the Board 4               on      February 2020,1.0
7405,And signed on their behalf by:,1.0
7406,"Barry Warmisham, Director",1.0
7407,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7408,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7409,the Companies Act 2006.,1.0
7410,Micro-entity Balance Sheet as at 28 February 2019,1.0
7411,Notes                 2019,2.0
7412,Â£,1.0
7413,Called up share capital not paid                                                                                       1,2.0
7414,"Current Assets                                                                                                         48,349",2.0
7415,"Creditors: amounts falling due within one year                                                                       (47,490)",2.0
7416,Net current assets (liabilities)                                                                                            859,2.0
7417,Total assets less current liabilities                                                                                       860,2.0
7418,Total net assets (liabilities)                                                                                              860,2.0
7419,Capital and reserves                                                                                                        860,2.0
7420,For the year ending 28 February 2019 the company was entities to exemption under section 477 of,1.0
7421,the Companies Act 2006 relating to small companies,1.0
7422,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7423,the Companies Act 2006.,1.0
7424,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7425,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7426,Â®     The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7427,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
7428,Approved by the Board on 31 January 2020,1.0
7429,And signed on their behalf by:,1.0
7430,"Kevin Hughes, Director",1.0
7431,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7432,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7433,the Companies Act 2006.,1.0
7434,Balance Sheet as at 31 January 2020,1.0
7435,2020          2019,1.0
7436,Â£             Â£,1.0
7437,Current assets,2.0
7438,Cash at bank and in hand                                                                                 100           100,2.0
7439,Net assets                                                                                                        100           100,2.0
7440,Issued share capital,2.0
7441,100 Ordinary Shares 1 of Â£ each                                                                          100           100,2.0
7442,Total Shareholder funds                                                                                           100           100,2.0
7443,STATEMENTS,1.0
7444,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
7445,the Companies Act 2006 relating to dormant companies,1.0
7446,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7447,the Companies Act 2006.,1.0
7448,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7449,with respect to accounting                records and the preparation of accounts.,1.0
7450,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7451,subject to the small companies regime.,1.0
7452,Approved by the Board on 31 January 2020,1.0
7453,And signed on their behalf by:,1.0
7454,"Alessandro Combi, Director",1.0
7455,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7456,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7457,the Companies Act 2006.,1.0
7458,Balance Sheet as at 31 January 2020,1.0
7459,2020           2019,1.0
7460,Â£              Â£,1.0
7461,Current assets,2.0
7462,Cash at bank and in hand                                                                          1              1,2.0
7463,Net assets                                                                                                  1              1,2.0
7464,Issued share capital,2.0
7465,1 Ordinary Share 1 of Â£ each                                                                                         1,2.0
7466,Total Shareholder funds                                                                       1 1,2.0
7467,STATEMENTS,1.0
7468,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
7469,the Companies Act 2006 relating to dormant companies,1.0
7470,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7471,the Companies Act 2006.,1.0
7472,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7473,with respect to accounting                 records and the preparation of accounts.,1.0
7474,d.   These accounts          have been prepared in accordance with the provisions applicable to companies,1.0
7475,subject to the small companies regime.,1.0
7476,Approved by the Board 4               on     February 2020,1.0
7477,And signed on their behalf by:,1.0
7478,"Barry Warmisham, Director",1.0
7479,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7480,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7481,the Companies Act 2006.,1.0
7482,Micro-entity Balance Sheet as at 31 May 2019,1.0
7483,Notes              2019             2018,2.0
7484,Â£                Â£,1.0
7485,Fixed Assets                                                                                          -                     492,2.0
7486,"Current Assets                                                                                        25,982           23,293",2.0
7487,"Creditors: amounts falling due within one year                                                      (25,637)         (23,726)",2.0
7488,Net current assets (liabilities)                                                                           345            (433),2.0
7489,Total assets less current liabilities                                                                      345                59,2.0
7490,Total net assets (liabilities)                                                                             345                59,2.0
7491,Capital and reserves                                                                                       345                59,2.0
7492,For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
7493,Companies Act 2006 relating to small companies,1.0
7494,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7495,the Companies Act 2006.,1.0
7496,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7497,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7498,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7499,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
7500,Approved by the Board on 20 January 2020,1.0
7501,And signed on their behalf by:,1.0
7502,"Mr D Williams, Director",1.0
7503,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7504,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7505,the Companies Act 2006.,1.0
7506,Micro-entity Balance Sheet as at 31 May 2019,1.0
7507,Notes              2019           2018,2.0
7508,Â£              Â£,1.0
7509,Current Assets                                                                                              100             100,2.0
7510,Net current assets (liabilities)                                                                            100             100,2.0
7511,Total assets less current liabilities                                                                       100             100,2.0
7512,Total net assets (liabilities)                                                                              100             100,2.0
7513,Capital and reserves                                                                                        100             100,2.0
7514,For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
7515,Companies Act 2006 relating to small companies,1.0
7516,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7517,the Companies Act 2006.,1.0
7518,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7519,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7520,The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7521,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
7522,Approved by the Board 4               on      February 2020,1.0
7523,And signed on their behalf by:,1.0
7524,"Leslie Jones, Director",1.0
7525,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7526,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7527,the Companies Act 2006.,1.0
7528,Balance Sheet,1.0
7529,as at 31 July 2019,1.0
7530,2019                                               2018,2.0
7531,Â£                                                  Â£,1.0
7532,"Current assets                                                                        2,436                                            15,928",2.0
7533,Creditors: amounts falling due within one,2.0
7534,"year                                                                                (3,747)                                            (5,276)",1.0
7535,"Net current (liabilities)/assets                                                                          (1,311)                                            10,652",2.0
7536,"Total assets less current liabilities                                                                      (1,311)                                            10,652",2.0
7537,"Net (liabilities)/assets                                                                                  (1,311)                                            10,652",2.0
7538,"Capital and reserves                                                                                       (1,311)                                            10,652",2.0
7539,Number                                            Number,1.0
7540,Average number of employee                                                                                1                                                 1,1.0
7541,"An interest-free loan of Â£1,765 was made to the Director Lin Johnston during the year {2018 Â£14,835).",2.0
7542,The company is a private company limited by shares and incorporated in England. Its registered office is,1.0
7543,"Office 7, 35-37 Ludgate Hill, London, EC4M 7JN.",2.0
7544,The director is satisfied that the company is entities to exemption from the requirement to obtain an audit,1.0
7545,under section 477 of the Companies Act 2006.,1.0
7546,The member has not required the company to obtain an audit in accordance with section 476 of the Act.,1.0
7547,The director acknowledges her responsibilities for complying with the requirements of the Companies Act,1.0
7548,2006 with respect to accounting                     records and the preparation of accounts.,1.0
7549,The accounts            have been prepared in accordance with the micro entity provisions of the Companies Act,1.0
7550,"2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime. The",1.0
7551,accounts        have been delivered in accordance with the provisions applicable to companies subject to the,1.0
7552,small companies regime.                      The profit and            loss account            has not been delivered to the Registrar of,1.0
7553,Companies,1.0
7557,Lin Johnston,1.0
7558,Director,1.0
7559,Approved by the board 3              on       February 2020,1.0
7560,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7561,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7562,the Companies Act 2006.,1.0
7563,Balance Sheet as at 31 January 2020,1.0
7564,2020          2019,1.0
7565,Â£              Â£,1.0
7566,Current assets,2.0
7567,Cash at bank and in hand                                                                          1              1,2.0
7568,Net assets                                                                                                  1              1,2.0
7569,Issued share capital,2.0
7570,1 Ordinary Share 1 of Â£ each                                                                               1              1,2.0
7571,Total Shareholder funds                                                                       1 1,2.0
7572,STATEMENTS,1.0
7573,a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,1.0
7574,the Companies Act 2006 relating to dormant companies,1.0
7575,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7576,the Companies Act 2006.,1.0
7577,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7578,with respect to accounting                records and the preparation of accounts.,1.0
7579,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7580,subject to the small companies regime.,1.0
7581,Approved by the Board 4               on      February 2020,1.0
7582,And signed on their behalf by:,1.0
7583,"Sunil Saggar, Director",1.0
7584,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7585,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7586,the Companies Act 2006.,1.0
7587,Micro-entity Balance Sheet as at 31 May 2019,1.0
7588,Notes                 2019,2.0
7589,Â£,1.0
7590,"Current Assets                                                                                                         34,045",2.0
7591,"Creditors: amounts falling due within one year                                                                        (32,070)",2.0
7592,"Net current assets (liabilities)                                                                                         1,975",2.0
7593,"Total assets less current liabilities                                                                                    1,975",2.0
7594,"Total net assets (liabilities)                                                                                           1,975",2.0
7595,"Capital and reserves                                                                                                     1,975",2.0
7596,Â®     For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
7597,Companies Act 2006 relating to small companies,1.0
7598,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7599,the Companies Act 2006.,1.0
7600,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7601,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7602,The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7603,accordance with the provisions applicable to companies subjcct to the small companies regime.,1.0
7604,Approved by the Board 4               on      February 2020,1.0
7605,And signed on their behalf by:,1.0
7606,"Brian Murphy, Director",1.0
7607,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7608,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7609,the Companies Act 2006.,1.0
7610,Micro-entity Balance Sheet as at 31 May 2019,1.0
7611,Notes            2019            2018,2.0
7612,Â£               Â£,1.0
7613,"Current Assets                                                                                       42,530           38,412",2.0
7614,"Creditors: amounts falling due within one year                                                     (30,180)         (27,115)",2.0
7615,"Net current assets (liabilities)                                                                     12,350           11,297",2.0
7616,"Total assets less current liabilities                                                                12,350           11,297",2.0
7617,"Accruals and deferred income                                                                         (1,840)          (1,496)",2.0
7618,"Total net assets (liabilities)                                                                        10,510           9,801",2.0
7619,"Reserves                                                                                              10,510             9,801",2.0
7620,For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,1.0
7621,Companies Act 2006 relating to small companies,1.0
7622,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7623,the Companies Act 2006.,1.0
7624,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7625,Companies Act 2006 with respect to accounting                              records and the preparation of accounts.,1.0
7626,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7627,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
7628,Approved by the Board on 18 June 2019,1.0
7629,And signed on their behalf by:,1.0
7630,"P C Kelsey, Director",1.0
7631,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7632,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7633,the Companies Act 2006.,1.0
7634,Micro-entity Balance Sheet as at 30 April 2019,1.0
7635,Notes            2019           2018,2.0
7636,Â£              Â£,1.0
7637,"Current Assets                                                                                           3,514          1,211",2.0
7638,"Creditors: amounts falling due within one year                                                        (10,516)        (9,823)",2.0
7639,"Net current assets (liabilities)                                                                        (7,002)       (8,612)",2.0
7640,"Total assets less current liabilities                                                                   (7,002)       (8,612)",2.0
7641,"Total net assets (liabilities)                                                                          (7,002)       (8,612)",2.0
7642,"Capital and reserves                                                                                    (7,002)       (8,612)",2.0
7643,Â®    For the year ending 30 April 2019 the company was entities to exemption under section 477 of the,1.0
7644,Companies Act 2006 relating to small companies,1.0
7645,The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7646,the Companies Act 2006.,1.0
7647,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7648,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7649,The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7650,accordance with the provisions applicable to companies subjcct to the small companies regime.,1.0
7651,Approved by the Board on 31 January 2020,1.0
7652,And signed on their behalf by:,1.0
7653,"Raphael Strauss, Director",1.0
7654,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7655,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7656,the Companies Act 2006.,1.0
7657,Balance Sheet as at 30 April 2019,1.0
7658,2019           2018,2.0
7659,Â£              Â£,1.0
7660,Current assets,2.0
7661,Cash at bank and in hand                                                                                   96            96,2.0
7662,Net assets                                                                                                          96             96,2.0
7663,Issued share capital,2.0
7664,96 Ordinary Shares 1 of Â£ each                                                                             96            96,2.0
7665,Total Shareholder funds                                                                                            96             96,2.0
7666,STATEMENTS,1.0
7667,a.   For the year ending 30 April 2019 the company was entities to exemption under section 480 of the,1.0
7668,Companies Act 2006 relating to dormant companies,1.0
7669,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7670,the Companies Act 2006.,1.0
7671,C.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7672,with respect to accounting                records and the preparation of accounts.,1.0
7673,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7674,subject to the small companies regime.,1.0
7675,Approved by the Board 4               on      February 2020,1.0
7676,And signed on their behalf by:,1.0
7677,"Stuart Brookes, Director",1.0
7678,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7679,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7680,the Companies Act 2006.,1.0
7681,Micro-entity Balance Sheet as at 31 March 2019,1.0
7682,Notes                  2019,2.0
7683,Â£,1.0
7684,"Fixed Assets                                                                                                           16,232",2.0
7685,"Current Assets                                                                                                       174,721",2.0
7686,"Creditors: amounts falling due within one year                                                                     (166,173)",2.0
7687,"Net current assets (liabilities)                                                                                         8,548",2.0
7688,"Total assets less current liabilities                                                                                  24,780",2.0
7689,"Total net assets (liabilities)                                                                                         24,780",2.0
7690,"Capital and reserves                                                                                                   24,780",2.0
7691,Â®     For the year ending 31 March 2019 the company was entities to exemption under section 477 of the,1.0
7692,Companies Act 2006 relating to small companies,1.0
7693,Â®     The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7694,the Companies Act 2006.,1.0
7695,Â®     The director acknowledge their responsibilities for complying with the requirements of the,1.0
7696,Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,1.0
7697,Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,1.0
7698,accordance with the provisions applicable to companies subject to the small companies regime.,1.0
7699,Approved by the Board 4               on      February 2020,1.0
7700,And signed on their behalf by:,1.0
7701,"Samar Sidhu, Director",1.0
7702,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7703,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7704,the Companies Act 2006.,1.0
7705,BALANCE SHEET,1.0
7706,AS AT 31 MAY 2019,1.0
7707,2019                                                 2017,1.0
7708,Â£                         Â£                          Â£                         Â£,1.0
7709,"Current assets                                                                                             1,307                                                1,572",2.0
7710,"Creditors: amounts falling due within one year                                                            {6,130)                                               1,799",2.0
7711,"Net current (liabilities)/assets                                                                                                    (4,823)                                               3,371",2.0
7712,"Net (liabilitiesÅ‚assets                                                                                                             (4,823)                                               3,371",2.0
7713,"Capital and reserves                                                                                                                (4,823)                                               3,371",2.0
7714,Notes to the financial statements,1.0
7715,1                      Employee,1.0
7716,"The average number of persons, including director employee by the company during the Period was as follows:",1.0
7717,2019                       2017,1.0
7718,Number                    Number,1.0
7719,Employee                                                                                                                                        3                         3,1.0
7722,Ayazim Limited is a private company limited by shares incorporated in England and Wales. The registered 2 office is                                                                         Elm,1.0
7723,"Grove, East Bourne, East Sussex, BN22 9NW.",1.0
7724,For the Period ended 31 May 2019 the company was entities to exemption from audit under section 477 of the,1.0
7725,Companies Act 2006 relating to small companies,1.0
7726,The director acknowledges his responsibilities for complying with the requirements of the Companies Act 2006 with,1.0
7727,respect to accounting               records and the preparation of financial statements.,1.0
7728,The members have not required the company to obtain an audit of its financial statements for the Period in question in,1.0
7729,accordance with section 476.,1.0
7730,These financial statements have been prepared in accordance with the micro-entity provisions and in accordance with,1.0
7731,FRS 105 'The Financial Reporting Standard applicable to the Micro-entity Regime' and delivered in accordance with the,1.0
7732,provisions applicable to companies subject to the small companies regime.,1.0
7733,The financial statements were approved and signed by the director and authorised for issue on 28 January 2020,1.0
7736,Mr Mustafa Kosar,1.0
7737,Director,1.0
7738,Company Registration Number 10541618,1.0
7739,-1-,1.0
7740,Balance Sheet,1.0
7741,as at 31 July 2019,1.0
7742,2019                                             2018,2.0
7743,Â£                                                Â£,1.0
7744,"Fixed assets                                                                                             1,332                                            1,776",2.0
7745,"Current assets                                                                    9,242                                            7,156",2.0
7746,Creditors: amounts falling due within,2.0
7747,"one year                                                                      (10,551)                                           (8,830)",2.0
7748,"Net current liabilities                                                                               (1,309)                                          (1,674)",2.0
7749,Total assets less current liabilities                                                                        23                                             102,2.0
7750,Creditors: amounts falling due after,2.0
7751,more than one year                                                                                   -                                                      (83),2.0
7752,Net assets                                                                                                   23                                               19,2.0
7753,Capital and reserves                                                                                         23                                               19,2.0
7756,The company is a private company limited by shares and incorporated in England. Its registered,1.0
7757,"office is 6b Alton Mews, Gatehouse Way, Aylesbury, Buckinghamshire, HP19 8JT.",1.0
7758,The director is satisfied that the company is entities to exemption from the requirement to obtain an,1.0
7759,audit under section 477 of the Companies Act 2006.,1.0
7760,The member has not required the company to obtain an audit in accordance with section 476 of the,1.0
7761,Act.,1.0
7762,The director acknowledges his responsibilities for complying with the requirements of the Companies,1.0
7763,Act 2006 with respect to accounting                       records and the preparation of accounts.,1.0
7764,The accounts           have been prepared in accordance with the micro entity provisions of the Companies,1.0
7765,"Act 2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime.",1.0
7766,The accounts             have been delivered in accordance with the provisions applicable to companies,1.0
7767,subject to the small companies regime. The profit and loss account                                               has not been delivered to the,1.0
7768,Registrar of Companies,1.0
7772,Mr J J | Mmesi,1.0
7773,Director,1.0
7774,Approved by the board on 28 January 2020,1.0
7775,This document was delivered using electronic communications and authenticated in accordance with the,1.0
7776,"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",1.0
7777,the Companies Act 2006.,1.0
7778,Balance Sheet as at 31 May 2019,1.0
7779,2019,1.0
7780,Â£,1.0
7781,Called up share capital not paid                                                                                           1,2.0
7782,Net assets                                                                                                                 1,2.0
7783,Tssued share capital,2.0
7784,1 Ordinary Share 1 of Â£ each                                                                                               1,2.0
7785,Total Shareholder funds                                                                                                   1,2.0
7786,STATEMENTS,1.0
7787,a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,1.0
7788,Companies Act 2006 relating to dormant companies,1.0
7789,b.   The members have not required the company to obtain an audit in accordance with section 476 of,1.0
7790,the Companies Act 2006.,1.0
7791,Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,1.0
7792,with respect to accounting                records and the preparation of accounts.,1.0
7793,d.   These accounts           have been prepared in accordance with the provisions applicable to companies,1.0
7794,subject to the small companies regime.,1.0
7795,Approved by the Board on 31 May 2019,1.0
