lineitem,relevance
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Omnia Gubara, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes                 2019,
Â£,
"Current Assets                                                                                                       201,116",
Creditors: amounts falling due within one year                                                                             (177),
"Net current assets (liabilities)                                                                                      200,939",
"Total assets less current liabilities                                                                                200,939",
"Total net assets (liabilities)                                                                                       200,939",
"Capital and reserves                                                                                                 200,939",
Â®     For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,
The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subjcct to the small companies regime.,
Approved by the Board on 15 November 2019,
And signed on their behalf by:,
"M Tutkun, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 September 2019,
2019,
Â£,
Called up share capital not paid                                                                                          2,
Net assets                                                                                                                 2,
Tssued share capital,
2            Oridinary Shares of Â£ | each                                                                                  2,
Total Shareholder funds                                                                                                   2,
STATEMENTS,
a.   For the year ending 30 September 2019 the company was entities to exemption under section 480,
of the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Ayub Ibrahim Limbada, Director",
"Sonia Ayub Limbada, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019          2018,
Â£             Â£,
Current assets,
Cash at bank and in hand                                                                                 100           100,
Net assets                                                                                                         100           100,
Issued share capital,
100 Ordinary Shares 1 of Â£ each                                                                          100           100,
Total Shareholder funds                                                                                           100           100,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 3               on      February 2020,
And signed on their behalf by:,
"Timothy Barlow, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019          2018,
Â£             Â£,
Called up share capital not paid                                                                                  100           100,
Net assets                                                                                                        100           100,
Tssued share capital,
100 Ordinary Shares of Â£ | each                                                                           100          100,
Total Shareholder funds                                                                                           100           100,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Richard Tomlinson, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019,
Â£,
Called up share capital not paid                                                                                           1,
Net assets                                                                                                                  1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                               1,
Total Shareholder funds                                                                                                   1,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Harold WIESENFELD, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 December 2019,
2019           2018,
Â£              Â£,
Called up share capital not paid                                                                            1               1,
Net assets                                                                                                  1              1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 December 2019 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Carlos Fernando Cristovao Ferreira, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 28 February 2019,
2019            2018,
Â£              Â£,
Current assets,
Cash at bank and in hand                                                                           1              1,
Net assets                                                                                                  1              1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                                1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 28 February 2019 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Patrick Gallagher, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 30 June 2019,
Notes             2019,
Â£,
Current Assets                                                                                                              573,
"Creditors: amounts falling due within one year                                                                          (2,907)",
"Net current assets (liabilities)                                                                                        (2,334)",
"Total assets less current liabilities                                                                                   (2,334)",
"Total net assets (liabilities)                                                                                          (2,334)",
"Capital and reserves                                                                                                    2,334",
Â®     For the year ending 30 June 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                                records and the preparation of accounts.,
The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subjcct to the small companies regime.,
Approved by the Board on 16 August 2019,
And signed on their behalf by:,
"Omid OLIAZADEH, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019           2018,
Â£              Â£,
Called up share capital not paid                                                                            1              1,
Net assets                                                                                                  1              1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 30 June 2019,
And signed on their behalf by:,
"Ethan Ashcroft, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
BALANCE SHEET,
AS AT 31 JANUARY 2019,
2019                                                  2018,
Â£                          Â£                          Â£                          Â£,
Called up share capital not paid                                                                                                             100                                                   100,
Capital and reserves                                                                                                                         100                                                   100,
Notes to the financial statements,
1                       Employee,
"The average number of persons, including director employee by the company during the year was as follows:",
2019                      2018,
Number                     Number,
Employee                                                                                                                                              -                          -,
,
,
The company has not traded during the year or the preceding financial period. During this time the company received no,
income and incurred no expenditure and therefore no profit and loss account                                                     is presented in these financial statements.,
Marble Warrior Limited is a private company limited by shares incorporated in England and Wales. The registered office,
"is 4th 4 Floor,         Tabernacle Street, London, EC2A 4LU",
For the financialyear ended 31 January 2019 the company was entities to exemption from audit under section 480 of the,
Companies Act 2006 relating to dormant companies,
The director acknowledge their respansibilities for complying with the requirements of the Companies Act 2006 with,
respect to accounting                records and the preparation of financial statements.,
The members have not required the company to obtain an audit of its financial statements for the year in question in,
accordance with section 476.,
These financial statements have been prepared in accordance with the micro-entity provisions and in accordance with,
FRS 105 'The Financial Reporting Standard applicable to the Micro-entity Regime' and delivered in accordance with the,
provisions applicable to companies subject to the small companies regime.,
The financial statements were approved and signed by the director and authorised for issue 3                                                            on       February 2020,
Miss A Grupa,
Director,
Company Registration Number 10077079,
,
,
-1-,
Balance Sheet as at 31 January 2020,
2020           2019,
Â£              Â£,
Current assets,
Cash at bank and in hand                                                                            1              1,
Net assets                                                                                                  1              1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                                 1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Doina Pirau, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 30 June 2019,
Notes            2019             2018,
Â£                Â£,
"Fixed Assets                                                                                           3,526            1,918",
"Current Assets                                                                                     232,315          204,768",
"Creditors: amounts falling due within one year                                                     (48,208)         (60,454)",
"Net current assets (liabilities)                                                                    184,107         144,314",
"Total assets less current liabilities                                                              187,633          146,232",
"Total net assets (liabilities)                                                                      187,633         146,232",
"Capital and reserves                                                                               187,633          146,232",
Â®    For the year ending 30 June 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 29 January 2020,
And signed on their behalf by:,
"Henry Hale, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 May 2019,
2019,
Â£,
Called up share capital not paid                                                                                           1,
Net assets                                                                                                                  1,
Tssued share capital,
1 Ordinary Share 1 of Â£ each                                                                                               1,
Total Shareholder funds                                                                                                   1,
STATEMENTS,
a.   For the year ending 31 May 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Harold WIESENFELD, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes          2019          2018,
Â£             Â£,
"Current Assets                                                                                            6,832       20,780",
"Creditors: amounts falling due within one year                                                          (2,192)        (2,257)",
"Net current assets (liabilities)                                                                          4,640        18,523",
"Total assets less current liabilities                                                                     4,640        18,523",
Creditors: amounts falling due after more than one,
(18.154)       (29.766),
year,
"Total net assets (liabilities)                                                                        (13,514)       (11,243)",
"Capital and reserves                                                                                  (13,514)       (11,243)",
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 5               on     November 2019,
And signed on their behalf by:,
"A Palmer, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 30 June 2019,
2019,
Â£,
Called up share capital not paid                                                                                                 100,
Net assets                                                                                                                       100,
Tssued share capital,
100 Ordinary Shares of Â£ | each                                                                                        100,
Total Shareholder funds                                                                                                          100,
STATEMENTS,
a.   For the year ending 30 June 2019 the company was entities to exemption under section 480 of the,
Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â¢.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"JULIET STRACHAN, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020           2019,
Â£              Â£,
Current assets,
Cash at bank and in hand                                                                           1              1,
Net assets                                                                                                  1              1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                                1              1,
Total Shareholder funds                                                                                     1              1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Barry Warmisham, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 28 February 2019,
Notes                 2019,
Â£,
Called up share capital not paid                                                                                       1,
"Current Assets                                                                                                         48,349",
"Creditors: amounts falling due within one year                                                                       (47,490)",
Net current assets (liabilities)                                                                                            859,
Total assets less current liabilities                                                                                       860,
Total net assets (liabilities)                                                                                              860,
Capital and reserves                                                                                                        860,
For the year ending 28 February 2019 the company was entities to exemption under section 477 of,
the Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 31 January 2020,
And signed on their behalf by:,
"Kevin Hughes, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020          2019,
Â£             Â£,
Current assets,
Cash at bank and in hand                                                                                 100           100,
Net assets                                                                                                        100           100,
Issued share capital,
100 Ordinary Shares 1 of Â£ each                                                                          100           100,
Total Shareholder funds                                                                                           100           100,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board on 31 January 2020,
And signed on their behalf by:,
"Alessandro Combi, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020           2019,
Â£              Â£,
Current assets,
Cash at bank and in hand                                                                          1              1,
Net assets                                                                                                  1              1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                                         1,
Total Shareholder funds                                                                       1 1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                 records and the preparation of accounts.,
d.   These accounts          have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on     February 2020,
And signed on their behalf by:,
"Barry Warmisham, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes              2019             2018,
Â£                Â£,
Fixed Assets                                                                                          -                     492,
"Current Assets                                                                                        25,982           23,293",
"Creditors: amounts falling due within one year                                                      (25,637)         (23,726)",
Net current assets (liabilities)                                                                           345            (433),
Total assets less current liabilities                                                                      345                59,
Total net assets (liabilities)                                                                             345                59,
Capital and reserves                                                                                       345                59,
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
Â®     The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board on 20 January 2020,
And signed on their behalf by:,
"Mr D Williams, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes              2019           2018,
Â£              Â£,
Current Assets                                                                                              100             100,
Net current assets (liabilities)                                                                            100             100,
Total assets less current liabilities                                                                       100             100,
Total net assets (liabilities)                                                                              100             100,
Capital and reserves                                                                                        100             100,
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
Â®     The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
The accounts         have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Leslie Jones, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet,
as at 31 July 2019,
2019                                               2018,
Â£                                                  Â£,
"Current assets                                                                        2,436                                            15,928",
Creditors: amounts falling due within one,
"year                                                                                (3,747)                                            (5,276)",
"Net current (liabilities)/assets                                                                          (1,311)                                            10,652",
"Total assets less current liabilities                                                                      (1,311)                                            10,652",
"Net (liabilities)/assets                                                                                  (1,311)                                            10,652",
"Capital and reserves                                                                                       (1,311)                                            10,652",
Number                                            Number,
Average number of employee                                                                                1                                                 1,
"An interest-free loan of Â£1,765 was made to the Director Lin Johnston during the year {2018 Â£14,835).",
The company is a private company limited by shares and incorporated in England. Its registered office is,
"Office 7, 35-37 Ludgate Hill, London, EC4M 7JN.",
The director is satisfied that the company is entities to exemption from the requirement to obtain an audit,
under section 477 of the Companies Act 2006.,
The member has not required the company to obtain an audit in accordance with section 476 of the Act.,
The director acknowledges her responsibilities for complying with the requirements of the Companies Act,
2006 with respect to accounting                     records and the preparation of accounts.,
The accounts            have been prepared in accordance with the micro entity provisions of the Companies Act,
"2006 and FRS 105, The Financial Reporting Standard applicable to the Micro-entity Regime. The",
accounts        have been delivered in accordance with the provisions applicable to companies subject to the,
small companies regime.                      The profit and            loss account            has not been delivered to the Registrar of,
Companies,
,
,
,
Lin Johnston,
Director,
Approved by the board 3              on       February 2020,
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Balance Sheet as at 31 January 2020,
2020          2019,
Â£              Â£,
Current assets,
Cash at bank and in hand                                                                          1              1,
Net assets                                                                                                  1              1,
Issued share capital,
1 Ordinary Share 1 of Â£ each                                                                               1              1,
Total Shareholder funds                                                                       1 1,
STATEMENTS,
a.   For the year ending 31 January 2020 the company was entities to exemption under section 480 of,
the Companies Act 2006 relating to dormant companies,
b.   The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
C.   The director acknowledge their responsibilities for complying with the requirements of the Act,
with respect to accounting                records and the preparation of accounts.,
d.   These accounts           have been prepared in accordance with the provisions applicable to companies,
subject to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Sunil Saggar, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes                 2019,
Â£,
"Current Assets                                                                                                         34,045",
"Creditors: amounts falling due within one year                                                                        (32,070)",
"Net current assets (liabilities)                                                                                         1,975",
"Total assets less current liabilities                                                                                    1,975",
"Total net assets (liabilities)                                                                                           1,975",
"Capital and reserves                                                                                                     1,975",
Â®     For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
The members have not required the company to obtain an audit in accordance with section 476 of,
the Companies Act 2006.,
Â®     The director acknowledge their responsibilities for complying with the requirements of the,
Companies Act 2006 with respect to accounting                               records and the preparation of accounts.,
The accounts          have been prepared in accordance with the micro-entity provisions and delivered in,
accordance with the provisions applicable to companies subjcct to the small companies regime.,
Approved by the Board 4               on      February 2020,
And signed on their behalf by:,
"Brian Murphy, Director",
This document was delivered using electronic communications and authenticated in accordance with the,
"registrar's rules relating to electronic form, authentication and manner of delivery under section 1072 of",
the Companies Act 2006.,
Micro-entity Balance Sheet as at 31 May 2019,
Notes            2019            2018,
Â£               Â£,
"Current Assets                                                                                       42,530           38,412",
"Creditors: amounts falling due within one year                                                     (30,180)         (27,115)",
"Net current assets (liabilities)                                                                     12,350           11,297",
"Total assets less current liabilities                                                                12,350           11,297",
"Accruals and deferred income                                                                         (1,840)          (1,496)",
"Total net assets (liabilities)                                                                        10,510           9,801",
"Reserves                                                                                              10,510             9,801",
For the year ending 31 May 2019 the company was entities to exemption under section 477 of the,
Companies Act 2006 relating to small companies,
